'Elapsed time','ECG1'
'hh:mm:ss.mmm','mV'
'0:00.000',-0.015
'0:00.004',-0.015
'0:00.008',-0.015
'0:00.012',-0.015
'0:00.016',-0.015
'0:00.020',-0.020
'0:00.024',-0.025
'0:00.028',-0.020
'0:00.032',-0.015
'0:00.036',-0.015
'0:00.040',-0.015
'0:00.044',-0.040
'0:00.048',-0.045
'0:00.052',0.000
'0:00.056',0.115
'0:00.060',0.365
'0:00.064',0.560
'0:00.068',0.665
'0:00.072',0.590
'0:00.076',0.260
'0:00.080',-0.065
'0:00.084',-0.395
'0:00.088',-0.540
'0:00.092',-0.510
'0:00.096',-0.415
'0:00.100',-0.275
'0:00.104',-0.175
'0:00.108',-0.100
'0:00.112',-0.065
'0:00.116',-0.045
'0:00.120',-0.035
'0:00.124',-0.040
'0:00.128',-0.045
'0:00.132',-0.040
'0:00.136',-0.035
'0:00.140',-0.035
'0:00.144',-0.035
'0:00.148',-0.030
'0:00.152',-0.025
'0:00.156',-0.025
'0:00.160',-0.025
'0:00.164',-0.020
'0:00.168',-0.020
'0:00.172',-0.025
'0:00.176',-0.020
'0:00.180',-0.015
'0:00.184',-0.005
'0:00.188',0.005
'0:00.192',0.005
'0:00.196',0.005
'0:00.200',0.005
'0:00.204',0.005
'0:00.208',0.010
'0:00.212',0.015
'0:00.216',0.015
'0:00.220',0.015
'0:00.224',0.020
'0:00.228',0.025
'0:00.232',0.025
'0:00.236',0.025
'0:00.240',0.035
'0:00.244',0.045
'0:00.248',0.050
'0:00.252',0.060
'0:00.256',0.075
'0:00.260',0.090
'0:00.264',0.100
'0:00.268',0.110
'0:00.272',0.120
'0:00.276',0.130
'0:00.280',0.140
'0:00.284',0.155
'0:00.288',0.170
'0:00.292',0.180
'0:00.296',0.190
'0:00.300',0.195
'0:00.304',0.200
'0:00.308',0.205
'0:00.312',0.205
'0:00.316',0.200
'0:00.320',0.190
'0:00.324',0.175
'0:00.328',0.160
'0:00.332',0.145
'0:00.336',0.125
'0:00.340',0.105
'0:00.344',0.085
'0:00.348',0.065
'0:00.352',0.045
'0:00.356',0.030
'0:00.360',0.015
'0:00.364',0.005
'0:00.368',-0.005
'0:00.372',-0.015
'0:00.376',-0.025
'0:00.380',-0.035
'0:00.384',-0.045
'0:00.388',-0.055
'0:00.392',-0.065
'0:00.396',-0.065
'0:00.400',-0.065
'0:00.404',-0.070
'0:00.408',-0.075
'0:00.412',-0.075
'0:00.416',-0.075
'0:00.420',-0.070
'0:00.424',-0.065
'0:00.428',-0.060
'0:00.432',-0.055
'0:00.436',-0.050
'0:00.440',-0.045
'0:00.444',-0.040
'0:00.448',-0.035
'0:00.452',-0.040
'0:00.456',-0.045
'0:00.460',-0.040
'0:00.464',-0.035
'0:00.468',-0.035
'0:00.472',-0.035
'0:00.476',-0.035
'0:00.480',-0.035
'0:00.484',-0.030
'0:00.488',-0.025
'0:00.492',-0.025
'0:00.496',-0.025
'0:00.500',-0.025
'0:00.504',-0.030
'0:00.508',-0.025
'0:00.512',-0.035
'0:00.516',-0.045
'0:00.520',-0.045
'0:00.524',-0.045
'0:00.528',-0.050
'0:00.532',-0.055
'0:00.536',-0.055
'0:00.540',-0.055
'0:00.544',-0.050
'0:00.548',-0.045
'0:00.552',-0.050
'0:00.556',-0.055
'0:00.560',-0.060
'0:00.564',-0.065
'0:00.568',-0.065
'0:00.572',-0.065
'0:00.576',-0.065
'0:00.580',-0.065
'0:00.584',-0.065
'0:00.588',-0.065
'0:00.592',-0.070
'0:00.596',-0.075
'0:00.600',-0.070
'0:00.604',-0.065
'0:00.608',-0.065
'0:00.612',-0.065
'0:00.616',-0.065
'0:00.620',-0.065
'0:00.624',-0.060
'0:00.628',-0.060
'0:00.632',-0.070
'0:00.636',-0.070
'0:00.640',-0.060
'0:00.644',-0.055
'0:00.648',-0.060
'0:00.652',-0.065
'0:00.656',-0.065
'0:00.660',-0.070
'0:00.664',-0.080
'0:00.668',-0.075
'0:00.672',-0.065
'0:00.676',-0.065
'0:00.680',-0.065
'0:00.684',-0.070
'0:00.688',-0.075
'0:00.692',-0.075
'0:00.696',-0.075
'0:00.700',-0.070
'0:00.704',-0.065
'0:00.708',-0.060
'0:00.712',-0.055
'0:00.716',-0.060
'0:00.720',-0.065
'0:00.724',-0.070
'0:00.728',-0.075
'0:00.732',-0.075
'0:00.736',-0.075
'0:00.740',-0.070
'0:00.744',-0.065
'0:00.748',-0.070
'0:00.752',-0.075
'0:00.756',-0.070
'0:00.760',-0.065
'0:00.764',-0.065
'0:00.768',-0.065
'0:00.772',-0.070
'0:00.776',-0.080
'0:00.780',-0.090
'0:00.784',-0.055
'0:00.788',0.005
'0:00.792',0.220
'0:00.796',0.485
'0:00.800',0.605
'0:00.804',0.680
'0:00.808',0.425
'0:00.812',0.100
'0:00.816',-0.230
'0:00.820',-0.555
'0:00.824',-0.525
'0:00.828',-0.460
'0:00.832',-0.345
'0:00.836',-0.225
'0:00.840',-0.165
'0:00.844',-0.105
'0:00.848',-0.085
'0:00.852',-0.065
'0:00.856',-0.065
'0:00.860',-0.065
'0:00.864',-0.065
'0:00.868',-0.065
'0:00.872',-0.060
'0:00.876',-0.055
'0:00.880',-0.050
'0:00.884',-0.045
'0:00.888',-0.045
'0:00.892',-0.045
'0:00.896',-0.045
'0:00.900',-0.045
'0:00.904',-0.040
'0:00.908',-0.035
'0:00.912',-0.035
'0:00.916',-0.035
'0:00.920',-0.030
'0:00.924',-0.025
'0:00.928',-0.025
'0:00.932',-0.025
'0:00.936',-0.020
'0:00.940',-0.015
'0:00.944',-0.010
'0:00.948',-0.005
'0:00.952',-0.005
'0:00.956',0.000
'0:00.960',0.010
'0:00.964',0.015
'0:00.968',0.010
'0:00.972',0.010
'0:00.976',0.020
'0:00.980',0.025
'0:00.984',0.025
'0:00.988',0.030
'0:00.992',0.040
'0:00.996',0.050
'0:01.000',0.045
'0:01.004',0.080
'0:01.008',0.095
'0:01.012',0.110
'0:01.016',0.125
'0:01.020',0.135
'0:01.024',0.145
'0:01.028',0.150
'0:01.032',0.155
'0:01.036',0.155
'0:01.040',0.155
'0:01.044',0.165
'0:01.048',0.175
'0:01.052',0.175
'0:01.056',0.170
'0:01.060',0.155
'0:01.064',0.145
'0:01.068',0.135
'0:01.072',0.120
'0:01.076',0.100
'0:01.080',0.085
'0:01.084',0.070
'0:01.088',0.055
'0:01.092',0.035
'0:01.096',0.015
'0:01.100',-0.005
'0:01.104',-0.020
'0:01.108',-0.030
'0:01.112',-0.040
'0:01.116',-0.050
'0:01.120',-0.060
'0:01.124',-0.070
'0:01.128',-0.075
'0:01.132',-0.070
'0:01.136',-0.070
'0:01.140',-0.080
'0:01.144',-0.085
'0:01.148',-0.090
'0:01.152',-0.095
'0:01.156',-0.095
'0:01.160',-0.085
'0:01.164',-0.070
'0:01.168',-0.080
'0:01.172',-0.095
'0:01.176',-0.080
'0:01.180',-0.065
'0:01.184',-0.070
'0:01.188',-0.075
'0:01.192',-0.060
'0:01.196',-0.045
'0:01.200',-0.045
'0:01.204',-0.045
'0:01.208',-0.045
'0:01.212',-0.045
'0:01.216',-0.045
'0:01.220',-0.045
'0:01.224',-0.045
'0:01.228',-0.045
'0:01.232',-0.040
'0:01.236',-0.035
'0:01.240',-0.045
'0:01.244',-0.055
'0:01.248',-0.055
'0:01.252',-0.055
'0:01.256',-0.050
'0:01.260',-0.045
'0:01.264',-0.050
'0:01.268',-0.055
'0:01.272',-0.060
'0:01.276',-0.065
'0:01.280',-0.070
'0:01.284',-0.070
'0:01.288',-0.060
'0:01.292',-0.055
'0:01.296',-0.060
'0:01.300',-0.065
'0:01.304',-0.070
'0:01.308',-0.075
'0:01.312',-0.080
'0:01.316',-0.085
'0:01.320',-0.080
'0:01.324',-0.075
'0:01.328',-0.080
'0:01.332',-0.085
'0:01.336',-0.095
'0:01.340',-0.085
'0:01.344',-0.075
'0:01.348',-0.065
'0:01.352',-0.055
'0:01.356',-0.065
'0:01.360',-0.075
'0:01.364',-0.075
'0:01.368',-0.075
'0:01.372',-0.070
'0:01.376',-0.065
'0:01.380',-0.065
'0:01.384',-0.065
'0:01.388',-0.060
'0:01.392',-0.060
'0:01.396',-0.075
'0:01.400',-0.085
'0:01.404',-0.085
'0:01.408',-0.080
'0:01.412',-0.060
'0:01.416',-0.050
'0:01.420',-0.075
'0:01.424',-0.085
'0:01.428',-0.080
'0:01.432',-0.075
'0:01.436',-0.070
'0:01.440',-0.060
'0:01.444',-0.045
'0:01.448',-0.040
'0:01.452',-0.050
'0:01.456',-0.060
'0:01.460',-0.070
'0:01.464',-0.070
'0:01.468',-0.060
'0:01.472',-0.065
'0:01.476',-0.080
'0:01.480',-0.080
'0:01.484',-0.070
'0:01.488',-0.065
'0:01.492',-0.070
'0:01.496',-0.065
'0:01.500',-0.075
'0:01.504',-0.045
'0:01.508',-0.045
'0:01.512',-0.080
'0:01.516',-0.110
'0:01.520',-0.045
'0:01.524',0.055
'0:01.528',0.365
'0:01.532',0.625
'0:01.536',0.705
'0:01.540',0.690
'0:01.544',0.365
'0:01.548',0.035
'0:01.552',-0.290
'0:01.556',-0.515
'0:01.560',-0.525
'0:01.564',-0.485
'0:01.568',-0.340
'0:01.572',-0.225
'0:01.576',-0.155
'0:01.580',-0.105
'0:01.584',-0.080
'0:01.588',-0.060
'0:01.592',-0.050
'0:01.596',-0.045
'0:01.600',-0.045
'0:01.604',-0.045
'0:01.608',-0.050
'0:01.612',-0.050
'0:01.616',-0.040
'0:01.620',-0.035
'0:01.624',-0.035
'0:01.628',-0.035
'0:01.632',-0.035
'0:01.636',-0.035
'0:01.640',-0.030
'0:01.644',-0.025
'0:01.648',-0.030
'0:01.652',-0.035
'0:01.656',-0.030
'0:01.660',-0.025
'0:01.664',-0.020
'0:01.668',-0.020
'0:01.672',-0.025
'0:01.676',-0.025
'0:01.680',-0.025
'0:01.684',-0.020
'0:01.688',-0.015
'0:01.692',-0.005
'0:01.696',0.005
'0:01.700',0.010
'0:01.704',0.015
'0:01.708',0.010
'0:01.712',0.005
'0:01.716',0.015
'0:01.720',0.025
'0:01.724',0.035
'0:01.728',0.045
'0:01.732',0.055
'0:01.736',0.065
'0:01.740',0.070
'0:01.744',0.080
'0:01.748',0.095
'0:01.752',0.110
'0:01.756',0.125
'0:01.760',0.140
'0:01.764',0.150
'0:01.768',0.155
'0:01.772',0.160
'0:01.776',0.170
'0:01.780',0.180
'0:01.784',0.185
'0:01.788',0.180
'0:01.792',0.175
'0:01.796',0.170
'0:01.800',0.150
'0:01.804',0.130
'0:01.808',0.115
'0:01.812',0.100
'0:01.816',0.085
'0:01.820',0.070
'0:01.824',0.055
'0:01.828',0.040
'0:01.832',0.015
'0:01.836',-0.015
'0:01.840',-0.030
'0:01.844',-0.045
'0:01.848',-0.050
'0:01.852',-0.055
'0:01.856',-0.060
'0:01.860',-0.065
'0:01.864',-0.065
'0:01.868',-0.065
'0:01.872',-0.065
'0:01.876',-0.065
'0:01.880',-0.070
'0:01.884',-0.075
'0:01.888',-0.075
'0:01.892',-0.075
'0:01.896',-0.065
'0:01.900',-0.055
'0:01.904',-0.055
'0:01.908',-0.055
'0:01.912',-0.045
'0:01.916',-0.035
'0:01.920',-0.035
'0:01.924',-0.030
'0:01.928',-0.020
'0:01.932',-0.015
'0:01.936',-0.010
'0:01.940',-0.005
'0:01.944',-0.005
'0:01.948',-0.005
'0:01.952',-0.005
'0:01.956',-0.005
'0:01.960',-0.005
'0:01.964',-0.005
'0:01.968',-0.005
'0:01.972',-0.005
'0:01.976',-0.005
'0:01.980',-0.010
'0:01.984',-0.020
'0:01.988',-0.025
'0:01.992',-0.020
'0:01.996',-0.015
'0:02.000',-0.015
'0:02.004',-0.025
'0:02.008',-0.025
'0:02.012',-0.025
'0:02.016',-0.025
'0:02.020',-0.025
'0:02.024',-0.025
'0:02.028',-0.025
'0:02.032',-0.025
