'Elapsed time','D3'
'hh:mm:ss.mmm','mV'
'0:00.000',-1.335
'0:00.004',-1.285
'0:00.008',-1.215
'0:00.012',-1.140
'0:00.016',-1.095
'0:00.020',-1.080
'0:00.024',-1.070
'0:00.028',-1.030
'0:00.032',-1.050
'0:00.036',-1.100
'0:00.040',-1.165
'0:00.044',-1.230
'0:00.048',-1.265
'0:00.052',-1.315
'0:00.056',-1.330
'0:00.060',-1.335
'0:00.064',-1.340
'0:00.068',-1.350
'0:00.072',-1.350
'0:00.076',-1.355
'0:00.080',-1.365
'0:00.084',-1.365
'0:00.088',-1.370
'0:00.092',-1.365
'0:00.096',-1.365
'0:00.100',-1.365
'0:00.104',-1.360
'0:00.108',-1.370
'0:00.112',-1.365
'0:00.116',-1.365
'0:00.120',-1.365
'0:00.124',-1.365
'0:00.128',-1.360
'0:00.132',-1.365
'0:00.136',-1.365
'0:00.140',-1.370
'0:00.144',-1.370
'0:00.148',-1.365
'0:00.152',-1.365
'0:00.156',-1.355
'0:00.160',-1.365
'0:00.164',-1.365
'0:00.168',-1.365
'0:00.172',-1.360
'0:00.176',-1.355
'0:00.180',-1.360
'0:00.184',-1.355
'0:00.188',-1.355
'0:00.192',-1.355
'0:00.196',-1.365
'0:00.200',-1.350
'0:00.204',-1.350
'0:00.208',-1.350
'0:00.212',-1.335
'0:00.216',-1.355
'0:00.220',-1.335
'0:00.224',-1.330
'0:00.228',-1.335
'0:00.232',-1.325
'0:00.236',-1.320
'0:00.240',-1.320
'0:00.244',-1.310
'0:00.248',-1.305
'0:00.252',-1.295
'0:00.256',-1.285
'0:00.260',-1.280
'0:00.264',-1.270
'0:00.268',-1.260
'0:00.272',-1.255
'0:00.276',-1.250
'0:00.280',-1.240
'0:00.284',-1.220
'0:00.288',-1.220
'0:00.292',-1.205
'0:00.296',-1.200
'0:00.300',-1.195
'0:00.304',-1.185
'0:00.308',-1.175
'0:00.312',-1.175
'0:00.316',-1.175
'0:00.320',-1.165
'0:00.324',-1.165
'0:00.328',-1.175
'0:00.332',-1.185
'0:00.336',-1.190
'0:00.340',-1.200
'0:00.344',-1.205
'0:00.348',-1.230
'0:00.352',-1.245
'0:00.356',-1.265
'0:00.360',-1.275
'0:00.364',-1.285
'0:00.368',-1.295
'0:00.372',-1.300
'0:00.376',-1.320
'0:00.380',-1.325
'0:00.384',-1.315
'0:00.388',-1.340
'0:00.392',-1.340
'0:00.396',-1.340
'0:00.400',-1.340
'0:00.404',-1.355
'0:00.408',-1.340
'0:00.412',-1.350
'0:00.416',-1.360
'0:00.420',-1.350
'0:00.424',-1.350
'0:00.428',-1.350
'0:00.432',-1.345
'0:00.436',-1.350
'0:00.440',-1.350
'0:00.444',-1.350
'0:00.448',-1.350
'0:00.452',-1.350
'0:00.456',-1.355
'0:00.460',-1.350
'0:00.464',-1.350
'0:00.468',-1.350
'0:00.472',-1.350
'0:00.476',-1.355
'0:00.480',-1.350
'0:00.484',-1.350
'0:00.488',-1.355
'0:00.492',-1.355
'0:00.496',-1.360
'0:00.500',-1.355
'0:00.504',-1.350
'0:00.508',-1.355
'0:00.512',-1.360
'0:00.516',-1.360
'0:00.520',-1.355
'0:00.524',-1.355
'0:00.528',-1.360
'0:00.532',-1.360
'0:00.536',-1.365
'0:00.540',-1.365
'0:00.544',-1.360
'0:00.548',-1.365
'0:00.552',-1.375
'0:00.556',-1.365
'0:00.560',-1.365
'0:00.564',-1.360
'0:00.568',-1.360
'0:00.572',-1.370
'0:00.576',-1.365
'0:00.580',-1.370
'0:00.584',-1.365
'0:00.588',-1.365
'0:00.592',-1.365
'0:00.596',-1.365
'0:00.600',-1.355
'0:00.604',-1.365
'0:00.608',-1.365
'0:00.612',-1.370
'0:00.616',-1.365
'0:00.620',-1.370
'0:00.624',-1.365
'0:00.628',-1.365
'0:00.632',-1.365
'0:00.636',-1.365
'0:00.640',-1.365
'0:00.644',-1.370
'0:00.648',-1.370
'0:00.652',-1.365
'0:00.656',-1.365
'0:00.660',-1.370
'0:00.664',-1.365
'0:00.668',-1.365
'0:00.672',-1.365
'0:00.676',-1.370
'0:00.680',-1.370
'0:00.684',-1.365
'0:00.688',-1.365
'0:00.692',-1.355
'0:00.696',-1.355
'0:00.700',-1.360
'0:00.704',-1.360
'0:00.708',-1.340
'0:00.712',-1.335
'0:00.716',-1.330
'0:00.720',-1.315
'0:00.724',-1.330
'0:00.728',-1.335
'0:00.732',-1.335
'0:00.736',-1.340
'0:00.740',-1.360
'0:00.744',-1.340
'0:00.748',-1.330
'0:00.752',-1.330
'0:00.756',-1.320
'0:00.760',-1.315
'0:00.764',-1.335
'0:00.768',-1.340
'0:00.772',-1.335
'0:00.776',-1.325
'0:00.780',-1.320
'0:00.784',-1.320
'0:00.788',-1.325
'0:00.792',-1.325
'0:00.796',-1.330
'0:00.800',-1.340
'0:00.804',-1.350
'0:00.808',-1.355
'0:00.812',-1.370
'0:00.816',-1.370
'0:00.820',-1.370
'0:00.824',-1.370
'0:00.828',-1.370
'0:00.832',-1.370
'0:00.836',-1.370
'0:00.840',-1.370
'0:00.844',-1.380
'0:00.848',-1.380
'0:00.852',-1.375
'0:00.856',-1.370
'0:00.860',-1.370
'0:00.864',-1.380
'0:00.868',-1.380
'0:00.872',-1.385
'0:00.876',-1.385
'0:00.880',-1.385
'0:00.884',-1.375
'0:00.888',-1.370
'0:00.892',-1.370
'0:00.896',-1.380
'0:00.900',-1.370
'0:00.904',-1.370
'0:00.908',-1.390
'0:00.912',-1.385
'0:00.916',-1.395
'0:00.920',-1.400
'0:00.924',-1.425
'0:00.928',-1.440
'0:00.932',-1.420
'0:00.936',-1.395
'0:00.940',-1.365
'0:00.944',-1.300
'0:00.948',-1.245
'0:00.952',-1.205
'0:00.956',-1.175
'0:00.960',-1.130
'0:00.964',-1.075
'0:00.968',-1.045
'0:00.972',-1.060
'0:00.976',-1.115
'0:00.980',-1.190
'0:00.984',-1.255
'0:00.988',-1.300
'0:00.992',-1.320
'0:00.996',-1.335
'0:01.000',-1.335
'0:01.004',-1.340
'0:01.008',-1.350
'0:01.012',-1.350
'0:01.016',-1.350
'0:01.020',-1.355
'0:01.024',-1.350
'0:01.028',-1.350
'0:01.032',-1.360
'0:01.036',-1.355
'0:01.040',-1.360
'0:01.044',-1.355
'0:01.048',-1.355
'0:01.052',-1.350
'0:01.056',-1.350
'0:01.060',-1.355
'0:01.064',-1.350
'0:01.068',-1.355
'0:01.072',-1.360
'0:01.076',-1.365
'0:01.080',-1.350
'0:01.084',-1.350
'0:01.088',-1.350
'0:01.092',-1.360
'0:01.096',-1.370
'0:01.100',-1.355
'0:01.104',-1.355
'0:01.108',-1.350
'0:01.112',-1.350
'0:01.116',-1.350
'0:01.120',-1.350
'0:01.124',-1.340
'0:01.128',-1.345
'0:01.132',-1.340
'0:01.136',-1.340
'0:01.140',-1.335
'0:01.144',-1.335
'0:01.148',-1.335
'0:01.152',-1.335
'0:01.156',-1.330
'0:01.160',-1.335
'0:01.164',-1.325
'0:01.168',-1.325
'0:01.172',-1.315
'0:01.176',-1.315
'0:01.180',-1.315
'0:01.184',-1.305
'0:01.188',-1.305
'0:01.192',-1.300
'0:01.196',-1.295
'0:01.200',-1.285
'0:01.204',-1.275
'0:01.208',-1.265
'0:01.212',-1.260
'0:01.216',-1.255
'0:01.220',-1.245
'0:01.224',-1.240
'0:01.228',-1.235
'0:01.232',-1.220
'0:01.236',-1.215
'0:01.240',-1.200
'0:01.244',-1.200
'0:01.248',-1.195
'0:01.252',-1.190
'0:01.256',-1.190
'0:01.260',-1.190
'0:01.264',-1.170
'0:01.268',-1.190
'0:01.272',-1.195
'0:01.276',-1.200
'0:01.280',-1.220
'0:01.284',-1.220
'0:01.288',-1.240
'0:01.292',-1.250
'0:01.296',-1.265
'0:01.300',-1.280
'0:01.304',-1.285
'0:01.308',-1.295
'0:01.312',-1.315
'0:01.316',-1.320
'0:01.320',-1.330
'0:01.324',-1.335
'0:01.328',-1.350
'0:01.332',-1.335
'0:01.336',-1.345
'0:01.340',-1.340
'0:01.344',-1.350
'0:01.348',-1.350
'0:01.352',-1.350
'0:01.356',-1.355
'0:01.360',-1.350
'0:01.364',-1.335
'0:01.368',-1.350
'0:01.372',-1.355
'0:01.376',-1.355
'0:01.380',-1.350
'0:01.384',-1.350
'0:01.388',-1.350
'0:01.392',-1.350
'0:01.396',-1.350
'0:01.400',-1.350
'0:01.404',-1.335
'0:01.408',-1.350
'0:01.412',-1.355
'0:01.416',-1.355
'0:01.420',-1.350
'0:01.424',-1.350
'0:01.428',-1.340
'0:01.432',-1.360
'0:01.436',-1.350
'0:01.440',-1.350
'0:01.444',-1.355
'0:01.448',-1.360
'0:01.452',-1.365
'0:01.456',-1.360
'0:01.460',-1.350
'0:01.464',-1.350
'0:01.468',-1.350
'0:01.472',-1.355
'0:01.476',-1.355
'0:01.480',-1.355
'0:01.484',-1.355
'0:01.488',-1.355
'0:01.492',-1.355
'0:01.496',-1.355
'0:01.500',-1.355
'0:01.504',-1.355
'0:01.508',-1.355
'0:01.512',-1.355
'0:01.516',-1.355
'0:01.520',-1.360
'0:01.524',-1.355
'0:01.528',-1.360
'0:01.532',-1.355
'0:01.536',-1.365
'0:01.540',-1.365
'0:01.544',-1.365
'0:01.548',-1.355
'0:01.552',-1.365
'0:01.556',-1.365
'0:01.560',-1.365
'0:01.564',-1.365
'0:01.568',-1.365
'0:01.572',-1.365
'0:01.576',-1.365
'0:01.580',-1.365
'0:01.584',-1.355
'0:01.588',-1.355
'0:01.592',-1.355
'0:01.596',-1.360
'0:01.600',-1.375
'0:01.604',-1.365
'0:01.608',-1.365
'0:01.612',-1.365
'0:01.616',-1.365
'0:01.620',-1.375
'0:01.624',-1.365
'0:01.628',-1.365
'0:01.632',-1.355
'0:01.636',-1.370
'0:01.640',-1.375
'0:01.644',-1.370
'0:01.648',-1.365
'0:01.652',-1.355
'0:01.656',-1.360
'0:01.660',-1.350
'0:01.664',-1.340
'0:01.668',-1.335
'0:01.672',-1.340
'0:01.676',-1.335
'0:01.680',-1.335
'0:01.684',-1.335
'0:01.688',-1.350
'0:01.692',-1.350
'0:01.696',-1.350
'0:01.700',-1.330
'0:01.704',-1.335
'0:01.708',-1.330
'0:01.712',-1.350
'0:01.716',-1.335
'0:01.720',-1.330
'0:01.724',-1.335
'0:01.728',-1.330
'0:01.732',-1.330
'0:01.736',-1.330
'0:01.740',-1.335
'0:01.744',-1.340
'0:01.748',-1.330
'0:01.752',-1.335
'0:01.756',-1.355
'0:01.760',-1.365
'0:01.764',-1.365
'0:01.768',-1.370
'0:01.772',-1.370
'0:01.776',-1.365
'0:01.780',-1.370
'0:01.784',-1.370
'0:01.788',-1.390
'0:01.792',-1.370
'0:01.796',-1.375
'0:01.800',-1.370
'0:01.804',-1.375
'0:01.808',-1.395
'0:01.812',-1.370
'0:01.816',-1.370
'0:01.820',-1.370
'0:01.824',-1.370
'0:01.828',-1.370
'0:01.832',-1.370
'0:01.836',-1.370
'0:01.840',-1.365
'0:01.844',-1.370
'0:01.848',-1.370
'0:01.852',-1.370
'0:01.856',-1.365
'0:01.860',-1.370
'0:01.864',-1.370
'0:01.868',-1.375
'0:01.872',-1.410
'0:01.876',-1.420
'0:01.880',-1.425
'0:01.884',-1.425
'0:01.888',-1.405
'0:01.892',-1.370
'0:01.896',-1.320
'0:01.900',-1.260
'0:01.904',-1.220
'0:01.908',-1.180
'0:01.912',-1.115
'0:01.916',-1.060
'0:01.920',-1.055
'0:01.924',-1.080
'0:01.928',-1.150
'0:01.932',-1.220
'0:01.936',-1.280
'0:01.940',-1.305
'0:01.944',-1.320
'0:01.948',-1.335
'0:01.952',-1.335
'0:01.956',-1.355
'0:01.960',-1.345
'0:01.964',-1.345
'0:01.968',-1.355
'0:01.972',-1.350
'0:01.976',-1.360
'0:01.980',-1.350
'0:01.984',-1.350
'0:01.988',-1.355
'0:01.992',-1.350
'0:01.996',-1.355
'0:02.000',-1.350
'0:02.004',-1.350
'0:02.008',-1.350
'0:02.012',-1.340
'0:02.016',-1.350
'0:02.020',-1.350
'0:02.024',-1.350
'0:02.028',-1.355
'0:02.032',-1.355
'0:02.036',-1.340
'0:02.040',-1.350
'0:02.044',-1.350
'0:02.048',-1.360
'0:02.052',-1.350
'0:02.056',-1.350
'0:02.060',-1.340
'0:02.064',-1.340
'0:02.068',-1.340
'0:02.072',-1.335
'0:02.076',-1.330
'0:02.080',-1.335
'0:02.084',-1.340
'0:02.088',-1.335
'0:02.092',-1.335
'0:02.096',-1.330
'0:02.100',-1.325
'0:02.104',-1.320
'0:02.108',-1.315
'0:02.112',-1.320
'0:02.116',-1.325
'0:02.120',-1.315
'0:02.124',-1.300
'0:02.128',-1.305
'0:02.132',-1.300
'0:02.136',-1.300
'0:02.140',-1.295
'0:02.144',-1.280
'0:02.148',-1.285
'0:02.152',-1.280
'0:02.156',-1.265
'0:02.160',-1.265
'0:02.164',-1.240
'0:02.168',-1.240
'0:02.172',-1.230
'0:02.176',-1.235
'0:02.180',-1.220
'0:02.184',-1.220
'0:02.188',-1.215
'0:02.192',-1.200
'0:02.196',-1.190
'0:02.200',-1.185
'0:02.204',-1.180
'0:02.208',-1.185
'0:02.212',-1.185
'0:02.216',-1.185
'0:02.220',-1.180
'0:02.224',-1.190
'0:02.228',-1.200
'0:02.232',-1.215
'0:02.236',-1.235
'0:02.240',-1.255
'0:02.244',-1.265
'0:02.248',-1.280
'0:02.252',-1.290
'0:02.256',-1.300
'0:02.260',-1.305
'0:02.264',-1.320
'0:02.268',-1.325
'0:02.272',-1.330
'0:02.276',-1.335
'0:02.280',-1.355
'0:02.284',-1.355
'0:02.288',-1.360
'0:02.292',-1.355
'0:02.296',-1.335
'0:02.300',-1.335
'0:02.304',-1.350
'0:02.308',-1.350
'0:02.312',-1.365
'0:02.316',-1.355
'0:02.320',-1.360
'0:02.324',-1.355
'0:02.328',-1.350
'0:02.332',-1.365
'0:02.336',-1.355
'0:02.340',-1.355
'0:02.344',-1.350
'0:02.348',-1.355
'0:02.352',-1.355
'0:02.356',-1.350
'0:02.360',-1.345
'0:02.364',-1.350
'0:02.368',-1.350
'0:02.372',-1.350
'0:02.376',-1.355
'0:02.380',-1.355
'0:02.384',-1.360
'0:02.388',-1.355
'0:02.392',-1.365
'0:02.396',-1.370
'0:02.400',-1.365
'0:02.404',-1.365
'0:02.408',-1.365
'0:02.412',-1.355
'0:02.416',-1.360
'0:02.420',-1.360
'0:02.424',-1.355
'0:02.428',-1.355
'0:02.432',-1.355
'0:02.436',-1.355
'0:02.440',-1.355
'0:02.444',-1.355
'0:02.448',-1.365
'0:02.452',-1.355
'0:02.456',-1.360
'0:02.460',-1.365
'0:02.464',-1.375
'0:02.468',-1.370
'0:02.472',-1.375
'0:02.476',-1.390
'0:02.480',-1.400
'0:02.484',-1.385
'0:02.488',-1.370
'0:02.492',-1.365
'0:02.496',-1.360
'0:02.500',-1.370
'0:02.504',-1.370
'0:02.508',-1.385
'0:02.512',-1.385
'0:02.516',-1.370
'0:02.520',-1.370
'0:02.524',-1.365
'0:02.528',-1.365
'0:02.532',-1.370
'0:02.536',-1.375
'0:02.540',-1.385
'0:02.544',-1.390
