'Elapsed time','CM5'
'hh:mm:ss.mmm','mV'
'0:00.000',-3.595
'0:00.004',-3.595
'0:00.008',-3.605
'0:00.012',-3.600
'0:00.016',-3.595
'0:00.020',-3.595
'0:00.024',-3.585
'0:00.028',-3.595
'0:00.032',-3.595
'0:00.036',-3.605
'0:00.040',-3.605
'0:00.044',-3.595
'0:00.048',-3.595
'0:00.052',-3.595
'0:00.056',-3.580
'0:00.060',-3.575
'0:00.064',-3.570
'0:00.068',-3.565
'0:00.072',-3.555
'0:00.076',-3.555
'0:00.080',-3.560
'0:00.084',-3.550
'0:00.088',-3.550
'0:00.092',-3.545
'0:00.096',-3.545
'0:00.100',-3.535
'0:00.104',-3.525
'0:00.108',-3.515
'0:00.112',-3.505
'0:00.116',-3.485
'0:00.120',-3.470
'0:00.124',-3.460
'0:00.128',-3.450
'0:00.132',-3.460
'0:00.136',-3.465
'0:00.140',-3.465
'0:00.144',-3.470
'0:00.148',-3.485
'0:00.152',-3.490
'0:00.156',-3.505
'0:00.160',-3.515
'0:00.164',-3.530
'0:00.168',-3.535
'0:00.172',-3.545
'0:00.176',-3.550
'0:00.180',-3.565
'0:00.184',-3.580
'0:00.188',-3.585
'0:00.192',-3.605
'0:00.196',-3.610
'0:00.200',-3.610
'0:00.204',-3.615
'0:00.208',-3.615
'0:00.212',-3.615
'0:00.216',-3.615
'0:00.220',-3.615
'0:00.224',-3.615
'0:00.228',-3.615
'0:00.232',-3.615
'0:00.236',-3.615
'0:00.240',-3.615
'0:00.244',-3.615
'0:00.248',-3.610
'0:00.252',-3.610
'0:00.256',-3.605
'0:00.260',-3.605
'0:00.264',-3.595
'0:00.268',-3.595
'0:00.272',-3.585
'0:00.276',-3.585
'0:00.280',-3.585
'0:00.284',-3.575
'0:00.288',-3.570
'0:00.292',-3.565
'0:00.296',-3.555
'0:00.300',-3.545
'0:00.304',-3.535
'0:00.308',-3.540
'0:00.312',-3.545
'0:00.316',-3.555
'0:00.320',-3.570
'0:00.324',-3.550
'0:00.328',-3.490
'0:00.332',-3.390
'0:00.336',-3.265
'0:00.340',-3.090
'0:00.344',-2.885
'0:00.348',-2.620
'0:00.352',-2.325
'0:00.356',-2.065
'0:00.360',-1.890
'0:00.364',-1.865
'0:00.368',-2.015
'0:00.372',-2.290
'0:00.376',-2.585
'0:00.380',-2.830
'0:00.384',-3.000
'0:00.388',-3.115
'0:00.392',-3.210
'0:00.396',-3.285
'0:00.400',-3.345
'0:00.404',-3.390
'0:00.408',-3.425
'0:00.412',-3.455
'0:00.416',-3.485
'0:00.420',-3.500
'0:00.424',-3.525
'0:00.428',-3.545
'0:00.432',-3.550
'0:00.436',-3.565
'0:00.440',-3.570
'0:00.444',-3.580
'0:00.448',-3.580
'0:00.452',-3.590
'0:00.456',-3.585
'0:00.460',-3.595
'0:00.464',-3.590
'0:00.468',-3.595
'0:00.472',-3.595
'0:00.476',-3.600
'0:00.480',-3.595
'0:00.484',-3.595
'0:00.488',-3.595
'0:00.492',-3.595
'0:00.496',-3.590
'0:00.500',-3.590
'0:00.504',-3.585
'0:00.508',-3.590
'0:00.512',-3.590
'0:00.516',-3.585
'0:00.520',-3.580
'0:00.524',-3.575
'0:00.528',-3.570
'0:00.532',-3.570
'0:00.536',-3.565
'0:00.540',-3.555
'0:00.544',-3.555
'0:00.548',-3.555
'0:00.552',-3.545
'0:00.556',-3.545
'0:00.560',-3.535
'0:00.564',-3.530
'0:00.568',-3.525
'0:00.572',-3.515
'0:00.576',-3.505
'0:00.580',-3.505
'0:00.584',-3.495
'0:00.588',-3.490
'0:00.592',-3.485
'0:00.596',-3.475
'0:00.600',-3.465
'0:00.604',-3.450
'0:00.608',-3.445
'0:00.612',-3.435
'0:00.616',-3.420
'0:00.620',-3.410
'0:00.624',-3.395
'0:00.628',-3.385
'0:00.632',-3.370
'0:00.636',-3.365
'0:00.640',-3.345
'0:00.644',-3.335
'0:00.648',-3.320
'0:00.652',-3.315
'0:00.656',-3.295
'0:00.660',-3.295
'0:00.664',-3.285
'0:00.668',-3.265
'0:00.672',-3.265
'0:00.676',-3.255
'0:00.680',-3.255
'0:00.684',-3.240
'0:00.688',-3.235
'0:00.692',-3.235
'0:00.696',-3.230
'0:00.700',-3.230
'0:00.704',-3.235
'0:00.708',-3.230
'0:00.712',-3.245
'0:00.716',-3.250
'0:00.720',-3.255
'0:00.724',-3.265
'0:00.728',-3.290
'0:00.732',-3.305
'0:00.736',-3.320
'0:00.740',-3.345
'0:00.744',-3.365
'0:00.748',-3.385
'0:00.752',-3.405
'0:00.756',-3.420
'0:00.760',-3.435
'0:00.764',-3.450
'0:00.768',-3.465
'0:00.772',-3.475
'0:00.776',-3.485
'0:00.780',-3.495
'0:00.784',-3.505
'0:00.788',-3.510
'0:00.792',-3.510
'0:00.796',-3.505
'0:00.800',-3.515
'0:00.804',-3.515
'0:00.808',-3.515
'0:00.812',-3.515
'0:00.816',-3.515
'0:00.820',-3.515
'0:00.824',-3.520
'0:00.828',-3.525
'0:00.832',-3.515
'0:00.836',-3.515
'0:00.840',-3.525
'0:00.844',-3.525
'0:00.848',-3.525
'0:00.852',-3.525
'0:00.856',-3.525
'0:00.860',-3.525
'0:00.864',-3.525
'0:00.868',-3.525
'0:00.872',-3.525
'0:00.876',-3.515
'0:00.880',-3.515
'0:00.884',-3.515
'0:00.888',-3.520
'0:00.892',-3.525
'0:00.896',-3.525
'0:00.900',-3.515
'0:00.904',-3.515
'0:00.908',-3.515
'0:00.912',-3.515
'0:00.916',-3.515
'0:00.920',-3.520
'0:00.924',-3.525
'0:00.928',-3.525
'0:00.932',-3.515
'0:00.936',-3.515
'0:00.940',-3.515
'0:00.944',-3.505
'0:00.948',-3.515
'0:00.952',-3.515
'0:00.956',-3.515
'0:00.960',-3.515
'0:00.964',-3.515
'0:00.968',-3.515
'0:00.972',-3.515
'0:00.976',-3.505
'0:00.980',-3.515
'0:00.984',-3.515
'0:00.988',-3.515
'0:00.992',-3.520
'0:00.996',-3.515
'0:01.000',-3.520
'0:01.004',-3.525
'0:01.008',-3.515
'0:01.012',-3.525
'0:01.016',-3.525
'0:01.020',-3.525
'0:01.024',-3.525
'0:01.028',-3.525
'0:01.032',-3.525
'0:01.036',-3.525
'0:01.040',-3.530
'0:01.044',-3.530
'0:01.048',-3.530
'0:01.052',-3.530
'0:01.056',-3.530
'0:01.060',-3.535
'0:01.064',-3.535
'0:01.068',-3.535
'0:01.072',-3.535
'0:01.076',-3.535
'0:01.080',-3.535
'0:01.084',-3.535
'0:01.088',-3.535
'0:01.092',-3.545
'0:01.096',-3.545
'0:01.100',-3.545
'0:01.104',-3.545
'0:01.108',-3.540
'0:01.112',-3.545
'0:01.116',-3.535
'0:01.120',-3.540
'0:01.124',-3.535
'0:01.128',-3.535
'0:01.132',-3.535
'0:01.136',-3.535
'0:01.140',-3.535
'0:01.144',-3.535
'0:01.148',-3.535
'0:01.152',-3.535
'0:01.156',-3.535
'0:01.160',-3.540
'0:01.164',-3.535
'0:01.168',-3.535
'0:01.172',-3.540
'0:01.176',-3.535
'0:01.180',-3.540
'0:01.184',-3.535
'0:01.188',-3.535
'0:01.192',-3.530
'0:01.196',-3.530
'0:01.200',-3.525
'0:01.204',-3.515
'0:01.208',-3.505
'0:01.212',-3.505
'0:01.216',-3.505
'0:01.220',-3.490
'0:01.224',-3.490
'0:01.228',-3.490
'0:01.232',-3.485
'0:01.236',-3.485
'0:01.240',-3.485
'0:01.244',-3.475
'0:01.248',-3.470
'0:01.252',-3.460
'0:01.256',-3.445
'0:01.260',-3.435
'0:01.264',-3.425
'0:01.268',-3.415
'0:01.272',-3.410
'0:01.276',-3.410
'0:01.280',-3.415
'0:01.284',-3.420
'0:01.288',-3.430
'0:01.292',-3.435
'0:01.296',-3.445
'0:01.300',-3.455
'0:01.304',-3.465
'0:01.308',-3.470
'0:01.312',-3.475
'0:01.316',-3.480
'0:01.320',-3.495
'0:01.324',-3.510
